City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Masakin,TN,2021-12-04 17:24:01,35.7292,10.5808,15.7,59,40,2.57
215,Okhotsk,RU,2021-12-04 17:24:01,59.3833,143.3,-30.53,90,47,6.39
216,Dharchula,IN,2021-12-04 17:24:02,29.85,80.5333,13.01,46,0,3.47
217,Maldonado,UY,2021-12-04 17:24:02,-34.6667,-54.9167,22.66,47,98,5.77
218,Sisimiut,GL,2021-12-04 17:24:02,66.9395,-53.6735,0.44,80,100,7.24
219,Awbari,LY,2021-12-04 17:24:02,26.5921,12.7805,11.65,29,1,3.14
220,Sola,VU,2021-12-04 17:24:03,-13.8833,167.55,26.36,79,100,5.27
221,Sitka,US,2021-12-04 17:24:02,57.0531,-135.33,-6.06,86,1,1.54
222,Husavik,IS,2021-12-04 17:24:03,66.0449,-17.3389,-11.05,77,87,4.55
223,Woodward,US,2021-12-04 17:24:03,36.4337,-99.3904,9.57,57,1,3.09
224,Mandera,KE,2021-12-04 17:24:04,3.9366,41.867,30.41,39,35,2.18
225,Miri,MY,2021-12-04 17:24:04,4.4148,114.0089,25.08,94,40,1.03
226,Araceli,PH,2021-12-04 17:24:04,10.5529,119.9913,27.48,74,59,10.86
227,Kutoarjo,ID,2021-12-04 17:24:05,-7.7169,109.9128,27.71,88,100,0.29
228,Maxixe,MZ,2021-12-04 17:24:05,-23.8597,35.3472,25.85,85,52,7.52
229,Van Buren,US,2021-12-04 17:24:05,35.4368,-94.3483,18.97,76,90,1.79
230,Sao Miguel Do Araguaia,BR,2021-12-04 17:24:05,-13.275,-50.1628,29.12,69,95,2.56
231,Makurdi,NG,2021-12-04 17:24:06,7.7411,8.5121,32.26,22,6,0.18
232,Asau,RO,2021-12-04 17:24:06,46.4333,26.4,-0.03,79,58,1.6
233,Nuuk,GL,2021-12-04 17:23:33,64.1835,-51.7216,9.34,46,75,8.75
234,Olafsvik,IS,2021-12-04 17:25:06,64.8945,-23.7142,1.45,75,71,2.08
235,Grindavik,IS,2021-12-04 17:25:07,63.8424,-22.4338,0.26,86,75,2.06
236,Lienz,AT,2021-12-04 17:25:07,46.8289,12.769,2.16,96,98,1.17
237,Nova Varos,RS,2021-12-04 17:25:07,43.4606,19.8114,0.63,95,93,1.95
238,Ilulissat,GL,2021-12-04 17:25:08,69.2167,-51.1,2.01,64,75,12.35
239,Alyangula,AU,2021-12-04 17:25:08,-13.8483,136.4192,25.93,100,99,0.0
240,Paita,PE,2021-12-04 17:25:08,-5.0892,-81.1144,26.31,71,96,5.25
241,Palmares Do Sul,BR,2021-12-04 17:25:08,-30.2578,-50.5097,25.16,60,80,7.6
242,Plettenberg Bay,ZA,2021-12-04 17:25:09,-34.0527,23.3716,17.46,91,99,7.42
243,Shakawe,BW,2021-12-04 17:25:09,-18.3667,21.85,25.03,60,85,3.3
244,Los Llanos De Aridane,ES,2021-12-04 17:22:53,28.6585,-17.9182,17.86,61,20,6.26
245,Tiznit,MA,2021-12-04 17:22:07,29.5833,-9.5,16.12,41,0,3.12
246,Homer,US,2021-12-04 17:25:09,59.6425,-151.5483,-7.35,85,75,2.06
247,Te Anau,NZ,2021-12-04 17:25:10,-45.4167,167.7167,14.09,96,99,1.55
248,Inhambane,MZ,2021-12-04 17:25:10,-23.865,35.3833,25.94,86,51,7.89
249,Verkhoyansk,RU,2021-12-04 17:25:10,67.5447,133.385,-34.34,90,100,0.87
250,Gamba,GA,2021-12-04 17:25:11,-2.65,10.0,26.21,84,94,3.68
251,Gat,IL,2021-12-04 17:24:49,31.61,34.7642,19.67,50,100,0.93
252,Velyka Mykhaylivka,UA,2021-12-04 17:25:11,47.0794,29.8514,0.77,57,17,1.87
253,Malanje,AO,2021-12-04 17:25:11,-9.5402,16.341,20.48,90,99,1.7
254,Kaitangata,NZ,2021-12-04 17:25:12,-46.2817,169.8464,12.9,94,91,2.07
255,Kargasok,RU,2021-12-04 17:25:12,59.0556,80.8572,-8.02,91,90,4.92
256,Novoagansk,RU,2021-12-04 17:25:12,61.9449,76.6625,-20.19,99,100,2.21
257,Dakar,SN,2021-12-04 17:23:45,14.6937,-17.4441,29.49,69,100,3.09
258,Buraydah,SA,2021-12-04 17:25:13,26.326,43.975,19.25,33,2,4.34
259,Lander,US,2021-12-04 17:24:45,42.833,-108.7307,12.12,39,1,3.09
260,Beyneu,KZ,2021-12-04 17:25:13,45.3167,55.2,1.64,73,72,4.79
261,Severnoye,RU,2021-12-04 17:25:13,56.3491,78.3619,-6.36,95,87,4.22
